id,idn,sim
12687,9915,0.6
125950,98134,0.6
165158,9632,0.6
406459,217535,0.6
1190667,612441,0.6
1784836,1665653,0.6
2478569,615957,0.6
1772793,1683171,0.6020408
2126809,1568387,0.60294116
2417845,801913,0.60431653
2292204,2113806,0.6045455
1270969,1267297,0.6052632
9624,6563,0.6056338
1695583,1482709,0.60583943
2056624,463937,0.6060606
125834,12814,0.60638297
9741,5308,0.60714287
1906171,1772266,0.60714287
587543,238898,0.60775864
9637,5138,0.60784316
12656,106,0.60784316
1938403,1820120,0.60784316
2078330,1820120,0.60784316
1470739,1362467,0.6082474
112898,104196,0.6086956
297871,288634,0.6086956
1131946,1355,0.6086956
1859013,1686689,0.6086956
2507024,2405867,0.6086956
2466914,1510427,0.60902256
2511700,2448055,0.609375
321749,317599,0.6097561
516840,395298,0.6099291
619789,100281,0.6101695
1195562,287942,0.6105263
1197412,906910,0.6111111
866515,648348,0.6122449
225570,96119,0.61290324
225570,187703,0.61290324
285139,73,0.61290324
2210569,1765989,0.61290324
1729703,1694630,0.6134454
965479,681271,0.6136364
628011,77119,0.6147186
1587047,1510427,0.61509436
9741,6616,0.61538464
1695693,406286,0.61538464
2488440,2109320,0.61538464
2466914,2409732,0.6165413
6563,5376,0.61702126
587543,385850,0.61702126
965479,443032,0.61702126
787116,377134,0.61728394
29478,9731,0.61764705
1240231,994730,0.61764705
1382404,129974,0.61764705
806530,504999,0.6178862
1648603,1466729,0.6178862
1597199,1084422,0.61829025
615368,12850,0.61904764
673591,402496,0.61904764
1197513,583050,0.62068963
591403,372027,0.6213018
48722,12420,0.6213592
1470409,9995,0.6216216
1863113,1496641,0.6216216
276051,77119,0.62173915
681271,443032,0.62222224
1951362,1920340,0.62222224
2266630,2214979,0.622449
203852,217,0.6226415
1466729,1294789,0.6229508
2399471,1893028,0.62352943
1598464,1102756,0.6236559
1240447,5539,0.62413794
6603,5269,0.625
6625,5373,0.625
266332,96119,0.625
266332,187703,0.625
385850,238898,0.625
611269,183667,0.625
1240447,1197532,0.625
1713357,1017551,0.625
2066639,861790,0.625
1552871,1249851,0.627451
2430958,2263246,0.627907
2128374,2114492,0.62801933
1348824,221912,0.6280488
1094258,1084141,0.62857145
2237376,1132979,0.6296296
2332865,2071024,0.6296296
2184809,1587047,0.6301887
1449190,1345418,0.6315789
1602166,1545594,0.6315789
1863162,297871,0.63235295
2232821,1038581,0.63274336
1889494,956800,0.6329114
1267938,806530,0.6333333
68438,5385,0.63366336
1976244,1920213,0.63414633
1691503,98423,0.63461536
2052531,1194144,0.6347826
496102,359891,0.63492066
1323748,12498,0.63492066
2409732,1587047,0.634981
1699269,1378094,0.6353591
2020627,1829677,0.63559324
1593068,1461680,0.6363636
1872357,175197,0.6363636
2126971,1722396,0.6363636
2217709,1515456,0.6363636
2558747,2511465,0.6363636
1781077,1046259,0.6369048
1197768,1094348,0.6376812
2306668,2305284,0.6376812
1893028,1288506,0.6385542
1543771,395298,0.6387833
339867,6465,0.6388889
1264087,1239736,0.6388889
1270969,1212997,0.6388889
2428515,2066639,0.6388889
1378078,1323635,0.6396396
1968667,1820766,0.64
2279223,10233,0.64
2279223,10234,0.64
394030,378288,0.640118
1479641,1213424,0.640625
2466914,1466702,0.6423077
1195573,165282,0.64285713
500214,6580,0.6442308
1267938,504999,0.6446281
2170879,2109606,0.6449704
2066639,398343,0.6451613
2083012,1911426,0.6451613
1893028,1794237,0.64634144
289311,208369,0.64705884
6712209,5711761,0.64705884
1548455,1466729,0.64705884
1656106,865583,0.64705884
1408425,1294789,0.647541
1588884,297,0.64772725
203532,167065,0.6481481
719213,495095,0.6486486
2507813,2132545,0.6486486
1691375,1591622,0.649635
68438,6611,0.65
2108988,356107,0.65
2409732,1510427,0.6511628
2352816,2167558,0.6513158
9579,6423,0.65217394
468228,3315,0.65217394
334728,6635,0.6530612
6543,76,0.65346533
383390,296258,0.65384614
2399471,1794237,0.65384614
2511335,1995824,0.65384614
92508,45506,0.6545454
1596337,1071252,0.6545454
1596337,1449190,0.6551724
1691782,76475,0.6551724
504999,500051,0.6554622
1648603,1408425,0.6557377
2167919,125834,0.65591395
898877,12470,0.65625
1648604,1469532,0.65625
1228300,1201114,0.6566265
979346,9633,0.6569343
192360,167020,0.6571429
1443168,1238933,0.6571429
1699269,1495900,0.6571429
1094196,1084144,0.65789473
1868061,1682536,0.65891474
558851,29868,0.65957445
49064,47884,0.6603774
121850,73227,0.6603774
1713242,1071252,0.66071427
1587047,1466702,0.6614786
1994057,1815864,0.6617647
2123533,1789717,0.6621622
2584238,2439362,0.66233766
1768495,1644703,0.6625
2078330,1938403,0.66292137
2167919,297,0.66292137
405072,302448,0.6630037
1510427,1466702,0.6653543
298480,187647,0.6655738
6540,5328,0.6666667
6944,67,0.6666667
16514,6455,0.6666667
6444994,5409227,0.6666667
266348,179036,0.6666667
269444,12570,0.6666667
394008,393470,0.6666667
797897,718590,0.6666667
1102756,1084540,0.6666667
1194182,6551,0.6666667
1249851,5145,0.6666667
2083552,2082648,0.6666667
1730981,1371254,0.6666667
1934346,1113601,0.6666667
1968400,787166,0.6666667
2377569,2301771,0.6666667
2399471,1288506,0.6666667
2409921,2309460,0.6666667
2507846,460464,0.6676136
